airport,rating
augsburg,4
berlin brandenburg,3
berlin tegel,4
berlin schonefeld,1
braunschweig-wolfsburg,0
bremen,4
wangerooge,0
westerland sylt,3
weeze,4
wilhelmshaven,0
hamburg,5
hannover langenhagen,5
dortmund,3
dresden,4
duesseldorf international,5
siegerland,0
karlsruhe/baden baden,4
cologne bonn,5
kiel,3
leipzig/halle,5
lübeck blankensee,4
mannheim city,0
memmingen,3
muenster osnabrueck,3
munich,5
nuremberg,4
paderborn lippstadt,0
rostock-laage,0
saarbruecken,3
frankfurt,5
frankfurt-hahn,4
friedrichshafen,4
heringsdorf,0
hof-plauen,3
zweibruecken,3
stuttgart,5
erfurt,3
